Fichier analysé : netmob_for_awsctd.csv
Total séquences : 7700
Anomalies détectées : 342
Date: 20190422 | Tile: Facebook_DL_Tile_102872.txt | Confiance: 0.9651
Date: 20190512 | Tile: Facebook_DL_Tile_102872.txt | Confiance: 0.9997
Date: 20190508 | Tile: Facebook_DL_Tile_102872.txt | Confiance: 0.9480
Date: 20190501 | Tile: Facebook_DL_Tile_102895.txt | Confiance: 0.9791
Date: 20190422 | Tile: Facebook_DL_Tile_102895.txt | Confiance: 0.9701
Date: 20190512 | Tile: Facebook_DL_Tile_102895.txt | Confiance: 0.9981
Date: 20190508 | Tile: Facebook_DL_Tile_102895.txt | Confiance: 0.9731
Date: 20190501 | Tile: Facebook_DL_Tile_103122.txt | Confiance: 0.9732
Date: 20190422 | Tile: Facebook_DL_Tile_103122.txt | Confiance: 0.9671
Date: 20190512 | Tile: Facebook_DL_Tile_103122.txt | Confiance: 0.9999
Date: 20190508 | Tile: Facebook_DL_Tile_103122.txt | Confiance: 0.9878
Date: 20190501 | Tile: Facebook_DL_Tile_103124.txt | Confiance: 0.9626
Date: 20190422 | Tile: Facebook_DL_Tile_103124.txt | Confiance: 0.9603
Date: 20190512 | Tile: Facebook_DL_Tile_103124.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_103124.txt | Confiance: 0.9823
Date: 20190501 | Tile: Facebook_DL_Tile_103140.txt | Confiance: 0.9524
Date: 20190422 | Tile: Facebook_DL_Tile_103140.txt | Confiance: 0.9686
Date: 20190512 | Tile: Facebook_DL_Tile_103140.txt | Confiance: 0.9838
Date: 20190508 | Tile: Facebook_DL_Tile_103140.txt | Confiance: 0.9638
Date: 20190501 | Tile: Facebook_DL_Tile_103161.txt | Confiance: 0.9411
Date: 20190422 | Tile: Facebook_DL_Tile_103161.txt | Confiance: 0.9441
Date: 20190512 | Tile: Facebook_DL_Tile_103161.txt | Confiance: 0.9998
Date: 20190508 | Tile: Facebook_DL_Tile_103161.txt | Confiance: 0.9542
Date: 20190501 | Tile: Facebook_DL_Tile_103165.txt | Confiance: 0.9194
Date: 20190422 | Tile: Facebook_DL_Tile_103165.txt | Confiance: 0.9531
Date: 20190512 | Tile: Facebook_DL_Tile_103165.txt | Confiance: 0.9998
Date: 20190501 | Tile: Facebook_DL_Tile_103403.txt | Confiance: 0.9725
Date: 20190512 | Tile: Facebook_DL_Tile_103403.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_103403.txt | Confiance: 0.9674
Date: 20190501 | Tile: Facebook_DL_Tile_103404.txt | Confiance: 0.5773
Date: 20190422 | Tile: Facebook_DL_Tile_103404.txt | Confiance: 0.9509
Date: 20190512 | Tile: Facebook_DL_Tile_103404.txt | Confiance: 0.9882
Date: 20190508 | Tile: Facebook_DL_Tile_103404.txt | Confiance: 0.5145
Date: 20190501 | Tile: Facebook_DL_Tile_103406.txt | Confiance: 0.9760
Date: 20190512 | Tile: Facebook_DL_Tile_103406.txt | Confiance: 0.9666
Date: 20190508 | Tile: Facebook_DL_Tile_103406.txt | Confiance: 0.9704
Date: 20190501 | Tile: Facebook_DL_Tile_103431.txt | Confiance: 0.9657
Date: 20190512 | Tile: Facebook_DL_Tile_103431.txt | Confiance: 0.9986
Date: 20190501 | Tile: Facebook_DL_Tile_103437.txt | Confiance: 0.9869
Date: 20190422 | Tile: Facebook_DL_Tile_103437.txt | Confiance: 0.9752
Date: 20190512 | Tile: Facebook_DL_Tile_103437.txt | Confiance: 0.9996
Date: 20190508 | Tile: Facebook_DL_Tile_103437.txt | Confiance: 0.9739
Date: 20190501 | Tile: Facebook_DL_Tile_103450.txt | Confiance: 0.9091
Date: 20190422 | Tile: Facebook_DL_Tile_103450.txt | Confiance: 0.9456
Date: 20190512 | Tile: Facebook_DL_Tile_103450.txt | Confiance: 1.0000
Date: 20190501 | Tile: Facebook_DL_Tile_103454.txt | Confiance: 0.9056
Date: 20190422 | Tile: Facebook_DL_Tile_103454.txt | Confiance: 0.9134
Date: 20190512 | Tile: Facebook_DL_Tile_103454.txt | Confiance: 0.9989
Date: 20190501 | Tile: Facebook_DL_Tile_10365.txt | Confiance: 0.9042
Date: 20190512 | Tile: Facebook_DL_Tile_10365.txt | Confiance: 0.9999
Date: 20190508 | Tile: Facebook_DL_Tile_10365.txt | Confiance: 0.9505
Date: 20190501 | Tile: Facebook_DL_Tile_103680.txt | Confiance: 0.9610
Date: 20190512 | Tile: Facebook_DL_Tile_103680.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_103680.txt | Confiance: 0.9387
Date: 20190501 | Tile: Facebook_DL_Tile_103697.txt | Confiance: 0.9712
Date: 20190422 | Tile: Facebook_DL_Tile_103697.txt | Confiance: 0.9598
Date: 20190512 | Tile: Facebook_DL_Tile_103697.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_103697.txt | Confiance: 0.9834
Date: 20190501 | Tile: Facebook_DL_Tile_103712.txt | Confiance: 0.9494
Date: 20190422 | Tile: Facebook_DL_Tile_103712.txt | Confiance: 0.9341
Date: 20190512 | Tile: Facebook_DL_Tile_103712.txt | Confiance: 0.9981
Date: 20190501 | Tile: Facebook_DL_Tile_10372.txt | Confiance: 0.9491
Date: 20190422 | Tile: Facebook_DL_Tile_10372.txt | Confiance: 0.9502
Date: 20190512 | Tile: Facebook_DL_Tile_10372.txt | Confiance: 0.9999
Date: 20190508 | Tile: Facebook_DL_Tile_10372.txt | Confiance: 0.9680
Date: 20190501 | Tile: Facebook_DL_Tile_10389.txt | Confiance: 0.9567
Date: 20190422 | Tile: Facebook_DL_Tile_10389.txt | Confiance: 0.9615
Date: 20190512 | Tile: Facebook_DL_Tile_10389.txt | Confiance: 0.9983
Date: 20190508 | Tile: Facebook_DL_Tile_10389.txt | Confiance: 0.9421
