id,score
Facebook_42614_20190512,-4.184921
Facebook_42634_20190512,-3.1094751
Facebook_42681_20190512,-4.9522166
Facebook_42897_20190512,-5.593271
Facebook_42910_20190512,-1.8762978
Facebook_42982_20190512,-2.356768
Facebook_43229_20190512,-2.6572552
Facebook_4390_20190512,-2.2512107
Facebook_43987_20190512,-4.910111
Facebook_44005_20190512,-1.8629332
Facebook_44333_20190512,-5.675762
Facebook_44334_20190512,-3.2425175
Facebook_44336_20190512,-2.869302
Facebook_44366_20190512,-2.8638313
Facebook_44575_20190512,-3.5830514
Facebook_44577_20190512,-2.3635437
Facebook_44582_20190512,-2.4741774
Facebook_44625_20190512,-3.8292854
Facebook_44917_20190512,-2.9394357
Facebook_44978_20190512,-2.8860834
Facebook_44982_20190512,-3.9632428
Facebook_45203_20190512,-4.539998
Facebook_45269_20190512,-1.891883
Facebook_45284_20190512,-3.0650606
Facebook_45439_20190512,-7.2858815
Facebook_45505_20190512,-2.047067
Facebook_45538_20190430,-2.1332438
Facebook_45538_20190518,-2.4680836
Facebook_45538_20190414,-2.392208
Facebook_45538_20190407,-2.1167214
Facebook_45538_20190325,-2.0527391
Facebook_45538_20190412,-2.2808
Facebook_45538_20190423,-2.3295977
Facebook_45538_20190519,-2.3370981
Facebook_45538_20190316,-2.2208388
Facebook_45538_20190406,-2.547664
Facebook_45538_20190408,-2.3140666
Facebook_45538_20190526,-2.5850847
Facebook_45538_20190501,-1.9987692
Facebook_45538_20190429,-2.1813848
Facebook_45538_20190403,-2.1997938
Facebook_45538_20190428,-2.4620862
Facebook_45538_20190418,-2.1547534
Facebook_45538_20190331,-2.4024842
Facebook_45538_20190424,-2.245786
Facebook_45538_20190410,-2.1340244
Facebook_45538_20190502,-1.9418253
Facebook_45538_20190511,-1.9634067
Facebook_45538_20190524,-2.7496164
Facebook_45538_20190330,-2.384595
Facebook_45538_20190420,-2.0711648
Facebook_45538_20190525,-2.4083202
Facebook_45538_20190321,-2.2301981
Facebook_45538_20190413,-2.2260282
Facebook_45538_20190505,-1.8761848
Facebook_45538_20190426,-2.3907719
Facebook_45538_20190404,-2.3696427
Facebook_45538_20190422,-2.1019979
Facebook_45538_20190417,-2.3697827
Facebook_45538_20190520,-2.7623508
Facebook_45538_20190322,-2.3287582
Facebook_45538_20190521,-2.4485152
Facebook_45538_20190405,-2.224507
Facebook_45538_20190515,-2.047128
Facebook_45538_20190514,-2.063964
Facebook_45538_20190510,-1.9535933
Facebook_45538_20190319,-2.1129243
Facebook_45538_20190517,-2.3079236
Facebook_45538_20190318,-1.9892064
Facebook_45538_20190527,-2.3316882
Facebook_45538_20190317,-2.1958334
Facebook_45538_20190326,-2.0978143
Facebook_45538_20190509,-1.8556315
Facebook_45538_20190320,-2.2333312
Facebook_45538_20190327,-2.9250877
Facebook_45538_20190531,-2.5911326
Facebook_45538_20190409,-2.081561
Facebook_45538_20190522,-2.8050606
Facebook_45538_20190425,-2.085896
Facebook_45538_20190402,-2.3260598
Facebook_45538_20190416,-2.2167675
Facebook_45538_20190329,-2.5407162
Facebook_45538_20190530,-2.5700502
Facebook_45538_20190411,-2.278851
Facebook_45538_20190324,-2.2378516
Facebook_45538_20190323,-2.3725615
Facebook_45538_20190328,-2.326813
Facebook_45538_20190529,-2.6046357
Facebook_45538_20190516,-1.9865106
Facebook_45538_20190427,-2.3047493
Facebook_45538_20190421,-2.2752788
Facebook_45538_20190419,-2.1414368
Facebook_45538_20190528,-2.586706
Facebook_45538_20190513,-2.0671475
Facebook_45538_20190523,-2.544997
Facebook_45538_20190415,-2.1941268
Facebook_45799_20190512,-3.0057552
Facebook_46557_20190512,-2.0474613
