id,score
Facebook_54955_20190420,-1.9145794
Facebook_54955_20190321,-2.0273945
Facebook_54955_20190531,-1.8966947
Facebook_54955_20190329,-1.8327646
Facebook_54955_20190324,-1.8561305
Facebook_54955_20190529,-1.9534421
Facebook_54955_20190427,-2.0366893
Facebook_54955_20190421,-1.9876219
Facebook_54955_20190528,-1.9542638
Facebook_55232_20190317,-1.9667121
Facebook_55488_20190530,-2.6079743
Facebook_56347_20190531,-1.8856496
Facebook_56347_20190530,-2.8179233
Facebook_56351_20190531,-2.0443437
Facebook_56351_20190530,-2.5726912
Facebook_56359_20190530,-2.0156033
Facebook_56396_20190414,-1.8940109
Facebook_56396_20190412,-1.8604035
Facebook_56396_20190519,-2.0166762
Facebook_56396_20190408,-2.3648913
Facebook_56396_20190403,-1.9412265
Facebook_56396_20190418,-2.002412
Facebook_56396_20190331,-1.8324823
Facebook_56396_20190524,-1.8577367
Facebook_56396_20190525,-1.8743821
Facebook_56396_20190321,-1.8638908
Facebook_56396_20190520,-2.1945534
Facebook_56396_20190322,-1.945223
Facebook_56396_20190521,-2.2643607
Facebook_56396_20190405,-1.9417866
Facebook_56396_20190319,-1.8550714
Facebook_56396_20190517,-2.2611957
Facebook_56396_20190318,-2.0808558
Facebook_56396_20190527,-1.9521843
Facebook_56396_20190317,-2.334177
Facebook_56396_20190326,-2.0175872
Facebook_56396_20190320,-1.892508
Facebook_56396_20190409,-1.8622457
Facebook_56396_20190522,-1.8793001
Facebook_56396_20190416,-1.9170542
Facebook_56396_20190329,-2.048402
Facebook_56396_20190411,-1.8784441
Facebook_56396_20190529,-2.1693454
Facebook_56396_20190419,-1.8517705
Facebook_56396_20190528,-1.8480014
Facebook_56396_20190523,-2.062617
Facebook_56396_20190415,-1.8293434
Facebook_56919_20190530,-2.5264716
Facebook_56951_20190414,-1.9324125
Facebook_56951_20190321,-1.8918649
Facebook_56951_20190527,-1.8598799
Facebook_56951_20190529,-1.983781
Facebook_57210_20190413,-2.1793013
Facebook_57210_20190531,-2.4014394
Facebook_57210_20190530,-3.2124183
Facebook_57210_20190529,-2.2585642
Facebook_57210_20190427,-1.9171704
Facebook_57214_20190406,-1.8917297
Facebook_57214_20190331,-1.8585496
Facebook_57214_20190531,-2.3306608
Facebook_57214_20190530,-2.6945245
Facebook_57214_20190529,-1.9976269
Facebook_57228_20190530,-1.8628768
Facebook_57786_20190531,-2.225491
Facebook_57786_20190530,-2.9917023
Facebook_58382_20190414,-2.1812208
Facebook_58382_20190407,-1.8435168
Facebook_58382_20190423,-1.8848242
Facebook_58382_20190408,-1.904274
Facebook_58382_20190526,-1.9089484
Facebook_58382_20190428,-1.8317758
Facebook_58382_20190331,-2.0388048
Facebook_58382_20190321,-1.9015895
Facebook_58382_20190404,-1.9389104
Facebook_58382_20190521,-1.8603684
Facebook_58382_20190319,-1.9937158
Facebook_58382_20190517,-1.8398923
Facebook_58382_20190527,-1.9361783
Facebook_58382_20190522,-2.2578213
Facebook_58382_20190329,-2.0466456
Facebook_58382_20190530,-1.9597396
Facebook_58382_20190529,-2.101774
Facebook_58382_20190523,-1.8815264
Facebook_58382_20190415,-1.8483515
Facebook_58394_20190430,-1.9996666
Facebook_58394_20190414,-2.0217454
